timestamp,temperature_C
2026-06-05 11:43:42,31.23
2026-06-05 11:43:43,31.23
2026-06-05 11:43:43,31.23
2026-06-05 11:43:44,31.23
2026-06-05 11:43:44,31.23
2026-06-05 11:43:45,31.23
2026-06-05 11:43:45,31.23
2026-06-05 11:43:46,31.23
2026-06-05 11:43:46,31.23
2026-06-05 11:43:47,31.23
2026-06-05 11:43:47,31.23
2026-06-05 11:43:48,31.23
2026-06-05 11:43:48,31.23
2026-06-05 11:43:49,31.23
2026-06-05 11:43:49,31.23
2026-06-05 11:43:50,31.23
2026-06-05 11:43:50,31.23
2026-06-05 11:43:51,31.23
2026-06-05 11:43:51,31.23
2026-06-05 11:43:52,31.23
2026-06-05 11:43:52,31.23
2026-06-05 11:43:53,31.23
2026-06-05 11:43:53,31.23
2026-06-05 11:43:54,31.23
2026-06-05 11:43:54,31.23
2026-06-05 11:43:55,31.23
2026-06-05 11:43:55,31.23
2026-06-05 11:43:56,31.23
2026-06-05 11:43:56,31.23
2026-06-05 11:43:57,31.23
2026-06-05 11:43:57,31.23
2026-06-05 11:43:58,31.23
2026-06-05 11:43:58,31.23
2026-06-05 11:43:59,31.23
2026-06-05 11:43:59,31.23
2026-06-05 11:44:00,31.23
2026-06-05 11:44:00,31.23
2026-06-05 11:44:01,31.23
2026-06-05 11:44:01,31.23
2026-06-05 11:44:02,31.23
2026-06-05 11:44:02,31.23
2026-06-05 11:44:03,31.23
2026-06-05 11:44:03,31.23
2026-06-05 11:44:04,31.23
2026-06-05 11:44:04,31.23
2026-06-05 11:44:05,31.23
2026-06-05 11:44:05,31.23
2026-06-05 11:44:06,31.23
2026-06-05 11:44:06,31.23
2026-06-05 11:44:07,31.23
2026-06-05 11:44:07,31.23
2026-06-05 11:44:08,31.23
2026-06-05 11:44:08,31.23
2026-06-05 11:44:09,31.23
2026-06-05 11:44:09,31.23
2026-06-05 11:44:10,31.23
2026-06-05 11:44:10,31.23
2026-06-05 11:44:11,31.23
2026-06-05 11:44:11,31.23
2026-06-05 11:44:12,31.23
2026-06-05 11:44:12,31.23
2026-06-05 11:44:13,31.23
2026-06-05 11:44:13,31.23
2026-06-05 11:44:14,31.23
2026-06-05 11:44:14,31.23
2026-06-05 11:44:15,31.23
2026-06-05 11:44:15,31.23
2026-06-05 11:44:16,31.23
2026-06-05 11:44:16,31.23
2026-06-05 11:44:17,31.23
2026-06-05 11:44:17,31.23
2026-06-05 11:44:18,31.23
2026-06-05 11:44:18,31.23
2026-06-05 11:44:19,31.23
2026-06-05 11:44:19,31.23
2026-06-05 11:44:20,31.23
2026-06-05 11:44:20,31.23
2026-06-05 11:44:21,31.23
2026-06-05 11:44:21,31.23
2026-06-05 11:44:22,31.23
2026-06-05 11:44:22,31.23
2026-06-05 11:44:23,31.23
2026-06-05 11:44:23,31.23
2026-06-05 11:44:24,31.23
2026-06-05 11:44:24,31.23
2026-06-05 11:44:25,31.23
2026-06-05 11:44:25,31.23
2026-06-05 11:44:26,31.23
2026-06-05 11:44:26,31.23
2026-06-05 11:44:27,31.23
2026-06-05 11:44:27,31.23
2026-06-05 11:44:28,31.23
2026-06-05 11:44:28,31.23
2026-06-05 11:44:29,31.23
2026-06-05 11:44:29,31.23
2026-06-05 11:44:30,31.23
2026-06-05 11:44:30,31.23
2026-06-05 11:44:31,31.23
2026-06-05 11:44:31,31.23
2026-06-05 11:44:32,31.23
2026-06-05 11:44:32,31.23
2026-06-05 11:44:33,31.23
2026-06-05 11:44:33,31.23
2026-06-05 11:44:34,31.23
2026-06-05 11:44:34,31.23
2026-06-05 11:44:35,31.23
2026-06-05 11:44:35,31.23
2026-06-05 11:44:36,31.23
2026-06-05 11:44:36,31.23
2026-06-05 11:44:37,31.23
2026-06-05 11:44:37,31.23
2026-06-05 11:44:38,31.23
2026-06-05 11:44:38,31.23
2026-06-05 11:44:39,31.23
2026-06-05 11:44:39,31.23
2026-06-05 11:44:40,31.23
2026-06-05 11:44:40,31.23
2026-06-05 11:44:41,31.23
2026-06-05 11:44:41,31.23
2026-06-05 11:44:42,31.23
2026-06-05 11:44:42,31.23
2026-06-05 11:44:43,31.23
2026-06-05 11:44:43,31.23
2026-06-05 11:44:44,31.23
2026-06-05 11:44:44,31.23
2026-06-05 11:44:45,31.23
2026-06-05 11:44:45,31.23
2026-06-05 11:44:46,31.23
2026-06-05 11:44:46,31.23
